User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1000004,P00128942,M,46-50,7,B,2,1,1,11,
1000009,P00113442,M,26-35,17,C,0,0,3,5,
1000010,P00288442,F,36-45,1,B,4+,1,5,14,
1000010,P00145342,F,36-45,1,B,4+,1,4,9,
1000011,P00053842,F,26-35,1,C,1,0,4,5,12
1000013,P00350442,M,46-50,1,C,3,1,2,3,15
1000013,P00155442,M,46-50,1,C,3,1,1,11,15
1000013,P0094542,M,46-50,1,C,3,1,2,4,9
1000015,P00161842,M,26-35,7,A,1,0,10,13,16
1000022,P00067942,M,18-25,15,A,4+,0,5,14,
1000026,P00046742,M,26-35,7,B,2,1,1,2,15
1000026,P00040042,M,26-35,7,B,2,1,5,,
1000026,P00196542,M,26-35,7,B,2,1,5,8,14
1000026,P00004542,M,26-35,7,B,2,1,5,8,
1000028,P00159542,F,26-35,1,C,2,1,10,15,16
1000029,P00111542,M,36-45,7,C,1,0,2,17,
1000033,P00121042,M,46-50,3,A,1,1,15,,
1000033,P00344442,M,46-50,3,A,1,1,5,8,14
1000034,P00265242,F,18-25,0,A,0,0,5,8,
1000035,P0096642,M,46-50,1,C,4+,1,2,3,4
1000036,P00303042,M,26-35,3,B,0,0,5,,
1000036,P00059642,M,26-35,3,B,0,0,1,2,3
1000042,P00030842,M,26-35,8,C,0,1,1,2,15
1000045,P00346442,F,46-50,16,A,1,1,1,2,14
1000045,P00357242,F,46-50,16,A,1,1,5,,
1000045,P00284742,F,46-50,16,A,1,1,5,12,
1000048,P00110842,M,26-35,4,B,3,1,1,2,5
1000048,P00251642,M,26-35,4,B,3,1,1,2,4
1000053,P00136742,M,26-35,0,B,1,0,1,14,16
1000053,P0097342,M,26-35,0,B,1,0,1,15,16
1000053,P00168242,M,26-35,0,B,1,0,5,16,
1000053,P00354342,M,26-35,0,B,1,0,5,11,
1000053,P00105042,M,26-35,0,B,1,0,5,9,
1000059,P00177442,F,51-55,1,B,4+,1,1,6,8
1000062,P00119242,F,36-45,3,A,1,0,18,,
1000063,P00260242,M,18-25,4,C,2,0,5,16,
1000063,P00113642,M,18-25,4,C,2,0,8,,
1000065,P00000142,M,36-45,12,C,2,1,3,4,5
1000068,P00216342,M,18-25,4,A,0,0,3,4,5
1000069,P00157542,F,26-35,1,A,1,0,8,14,
1000073,P00112642,M,18-25,4,A,4+,0,1,2,5
1000078,P0095842,F,46-50,1,C,0,1,3,4,12
1000080,P00112142,M,55+,1,C,3,1,1,2,14
1000081,P00109142,F,26-35,0,A,1,1,8,17,
1000081,P00120342,F,26-35,0,A,1,1,5,17,
1000082,P00014542,M,26-35,17,C,2,1,8,,
1000090,P00117542,M,55+,13,C,1,0,18,,
1000092,P00220442,F,18-25,4,B,1,0,5,14,
1000092,P00171542,F,18-25,4,B,1,0,2,5,14
1000094,P00178242,M,26-35,17,C,1,0,8,,
1000096,P00293342,F,26-35,16,C,2,1,8,,
1000097,P00117842,F,36-45,3,C,3,0,5,13,16
1000098,P00327542,F,36-45,7,C,2,1,5,,
1000100,P00110842,M,36-45,17,C,4+,0,1,2,5
1000100,P00193542,M,36-45,17,C,4+,0,1,2,
1000100,P00243942,M,36-45,17,C,4+,0,1,2,15
1000103,P00148542,M,46-50,7,B,2,1,1,16,17
1000107,P00089042,M,46-50,18,C,4+,0,13,,
1000116,P00267542,M,26-35,17,C,2,1,1,16,
1000117,P00147742,M,26-35,17,A,2,1,1,16,
1000117,P00223542,M,26-35,17,A,2,1,1,8,17
1000117,P00185442,M,26-35,17,A,2,1,15,,
1000120,P00110542,M,26-35,11,C,0,0,8,,
1000123,P00014042,M,36-45,9,B,4+,1,1,,
1000123,P00177442,M,36-45,9,B,4+,1,1,6,8
1000123,P00295342,M,36-45,9,B,4+,1,2,8,
1000123,P00266542,M,36-45,9,B,4+,1,2,16,
1000129,P00089242,M,26-35,11,C,2,0,2,5,
1000130,P00312742,M,36-45,17,B,3,1,15,,
1000130,P00286742,M,36-45,17,B,3,1,1,16,
1000131,P00210942,M,18-25,4,C,4+,0,5,12,
1000132,P00192842,M,26-35,17,C,1,0,5,14,
1000134,P00138542,M,26-35,0,C,3,1,5,6,
1000134,P00047242,M,26-35,0,C,3,1,1,5,
1000136,P00148642,M,18-25,2,B,3,0,6,10,13
1000139,P00150542,F,26-35,20,C,2,0,5,,
1000139,P00201442,F,26-35,20,C,2,0,1,6,8
1000146,P00124342,F,36-45,20,B,3,1,11,,
1000147,P00165642,M,18-25,4,B,4+,0,1,8,16
1000147,P00305142,M,18-25,4,B,4+,0,1,,
1000148,P00359242,M,51-55,17,B,3,1,1,5,17
1000148,P00084842,M,51-55,17,B,3,1,8,16,
1000150,P00336942,M,36-45,7,B,0,1,5,,
1000151,P00144242,F,26-35,20,A,1,1,5,14,
1000151,P00015142,F,26-35,20,A,1,1,5,,
1000157,P00223542,M,36-45,16,A,1,0,1,8,17
1000157,P00115442,M,36-45,16,A,1,0,8,,
1000157,P00129842,M,36-45,16,A,1,0,6,8,15
1000157,P00287342,M,36-45,16,A,1,0,5,,
1000157,P00115942,M,36-45,16,A,1,0,8,17,
1000158,P00086342,M,55+,7,C,2,1,8,,
1000161,P00014942,M,46-50,16,C,4+,1,8,,
1000161,P00101542,M,46-50,16,C,4+,1,13,16,
1000161,P00184942,M,46-50,16,C,4+,1,1,8,17
1000163,P00211142,M,18-25,4,A,1,0,5,,
1000163,P00198642,M,18-25,4,A,1,0,8,14,
1000163,P00303442,M,18-25,4,A,1,0,1,8,14
1000165,P00346142,M,18-25,16,A,1,0,1,15,
1000166,P00086442,M,18-25,4,B,1,1,8,13,15
1000166,P00133442,M,18-25,4,B,1,1,1,16,
1000169,P00175842,M,26-35,7,B,3,0,5,,
1000169,P00277842,M,26-35,7,B,3,0,1,,
1000169,P00198742,M,26-35,7,B,3,0,1,2,11
1000169,P00367042,M,26-35,7,B,3,0,8,,
1000173,P00100042,M,26-35,0,B,1,1,6,10,
1000173,P00348942,M,26-35,0,B,1,1,8,13,
1000173,P00309242,M,26-35,0,B,1,1,5,8,
1000173,P00029842,M,26-35,0,B,1,1,8,,
1000175,P00324942,F,26-35,2,B,1,0,5,,
1000175,P00084142,F,26-35,2,B,1,0,5,12,
1000175,P00331242,F,26-35,2,B,1,0,12,17,
1000175,P00182442,F,26-35,2,B,1,0,5,11,
1000181,P00222842,M,18-25,17,C,1,0,8,,
1000187,P00001742,F,46-50,1,B,1,0,8,14,
1000187,P00137442,F,46-50,1,B,1,0,8,12,
1000187,P00029342,F,46-50,1,B,1,0,8,14,
1000191,P00234542,M,18-25,4,C,1,1,5,,
1000192,P00005042,M,18-25,1,B,2,0,6,16,
1000192,P00157142,M,18-25,1,B,2,0,11,16,
1000193,P00310842,F,46-50,15,C,1,1,6,8,10
1000195,P00154742,M,26-35,12,B,4+,1,8,14,16
1000195,P00231942,M,26-35,12,B,4+,1,11,,
1000195,P00280842,M,26-35,12,B,4+,1,1,8,
1000195,P00070042,M,26-35,12,B,4+,1,1,2,16
1000198,P00084142,M,26-35,12,A,0,1,5,12,
1000198,P00258842,M,26-35,12,A,0,1,5,,
1000202,P00190142,M,18-25,4,A,3,0,3,4,5
1000202,P00113042,M,18-25,4,A,3,0,11,16,
1000202,P00105242,M,18-25,4,A,3,0,11,,
1000202,P00214642,M,18-25,4,A,3,0,11,13,16
1000204,P00346042,M,26-35,7,B,1,1,6,8,15
1000205,P00313542,M,36-45,12,A,1,0,5,8,
1000205,P00112742,M,36-45,12,A,1,0,2,14,
1000212,P00288942,M,26-35,16,C,3,0,1,2,5
1000214,P00198042,M,18-25,20,C,1,0,11,16,
1000215,P00034742,M,36-45,14,C,1,1,5,14,17
1000216,P00189842,M,46-50,13,B,1,0,3,4,5
1000216,P00253142,M,46-50,13,B,1,0,1,2,5
1000216,P00175942,M,46-50,13,B,1,0,8,,
1000216,P00275742,M,46-50,13,B,1,0,8,16,
1000216,P00174242,M,46-50,13,B,1,0,15,16,
1000216,P00054342,M,46-50,13,B,1,0,7,,
1000225,P00212742,M,26-35,7,A,0,0,5,,
1000225,P00145942,M,26-35,7,A,0,0,6,8,13
1000227,P00229742,M,36-45,20,B,0,0,1,16,
1000229,P0099242,M,18-25,10,C,1,0,8,14,
1000229,P00173042,M,18-25,10,C,1,0,13,15,16
1000233,P00184942,F,46-50,20,C,2,1,1,8,17
1000235,P00117642,M,26-35,0,B,0,0,10,16,
1000238,P00088442,F,51-55,7,B,0,0,8,,
1000245,P00145042,M,36-45,16,B,0,0,1,2,5
1000245,P00221742,M,36-45,16,B,0,0,1,8,
1000245,P00044442,M,36-45,16,B,0,0,1,16,
1000245,P00123342,M,36-45,16,B,0,0,11,,
1000248,P00015542,M,18-25,17,B,1,1,1,2,13
1000249,P00274042,F,18-25,14,C,2,0,1,,
1000249,P00250642,F,18-25,14,C,2,0,11,,
1000249,P00102242,F,18-25,14,C,2,0,8,12,
1000257,P00002442,M,18-25,18,A,1,0,8,15,
1000257,P00139942,M,18-25,18,A,1,0,5,,
1000262,P00074642,F,26-35,1,C,1,0,5,9,14
1000264,P00111942,M,36-45,0,B,1,1,8,17,
1000264,P00193542,M,36-45,0,B,1,1,1,2,
1000268,P00127842,F,18-25,12,C,1,0,1,2,15
1000271,P00183242,M,18-25,4,C,1,0,5,15,
1000272,P00042142,M,18-25,0,A,1,0,1,2,6
1000272,P00244042,M,18-25,0,A,1,0,1,2,15
1000278,P00348642,M,46-50,18,C,4+,1,5,11,
1000283,P00016042,M,26-35,0,B,1,0,1,16,
1000284,P00182542,M,26-35,12,B,3,1,5,11,
1000289,P00110742,F,26-35,0,C,1,0,1,2,8
1000293,P00062842,M,55+,1,C,1,1,1,2,13
1000300,P00297942,M,26-35,7,B,4+,1,8,,
1000301,P00024042,M,18-25,4,B,4+,0,7,,
1000302,P00048142,M,18-25,4,B,4+,0,1,16,
1000302,P00102042,M,18-25,4,B,4+,0,5,,
1000302,P00220342,M,18-25,4,B,4+,0,5,,
1000307,P00114542,M,51-55,16,B,0,1,5,,
1000308,P00010842,M,26-35,2,A,3,1,8,16,
1000308,P0094542,M,26-35,2,A,3,1,2,4,9
1000308,P00153842,M,26-35,2,A,3,1,8,14,16
1000309,P00303242,M,26-35,4,B,1,0,5,8,
1000309,P00201442,M,26-35,4,B,1,0,1,6,8
1000311,P00120042,M,18-25,4,C,3,1,1,2,
1000312,P00118542,F,51-55,2,B,0,0,5,8,
1000312,P00145242,F,51-55,2,B,0,0,2,4,
1000313,P00112142,F,18-25,4,A,4+,0,1,2,14
1000314,P00050242,F,55+,9,C,1,0,8,,
1000314,P00295942,F,55+,9,C,1,0,2,5,15
1000319,P00324442,F,51-55,6,B,3,1,11,13,16
1000319,P00155042,F,51-55,6,B,3,1,6,16,
1000319,P00085242,F,51-55,6,B,3,1,8,14,17
1000320,P00115942,M,36-45,6,C,4+,0,8,17,
1000321,P00265242,M,18-25,4,B,3,0,5,8,
1000321,P00163442,M,18-25,4,B,3,0,6,8,13
1000324,P00273442,M,36-45,17,B,0,1,12,14,17
1000326,P00331042,M,51-55,11,B,1,1,5,8,
1000326,P00151742,M,51-55,11,B,1,1,8,15,16
1000327,P00118142,M,36-45,18,C,4+,0,8,17,
1000328,P00046742,M,36-45,12,C,2,0,1,2,15
1000329,P00125642,M,36-45,7,A,1,0,5,14,
1000329,P00270842,M,36-45,7,A,1,0,5,,
1000329,P00171342,M,36-45,7,A,1,0,13,16,
1000331,P00184842,M,26-35,7,B,1,0,5,6,
1000333,P00128242,M,36-45,2,A,0,1,5,12,14
1000335,P00146142,M,36-45,18,C,0,1,1,2,15
1000337,P00191442,M,18-25,19,C,0,0,1,2,15
1000340,P00331942,F,26-35,3,C,1,1,5,,
1000342,P00117942,M,18-25,12,C,4+,0,5,15,
1000343,P00218642,F,36-45,3,B,2,0,5,,
1000344,P00240042,M,36-45,14,C,1,1,5,,
1000346,P00184942,F,26-35,0,B,2,0,1,8,17
1000346,P00059442,F,26-35,0,B,2,0,6,8,16
1000348,P00281742,M,51-55,7,B,2,1,5,8,18
1000349,P00347642,M,0-17,10,C,0,0,1,6,
1000349,P00015542,M,0-17,10,C,0,0,1,2,13
1000350,P00058042,M,46-50,20,C,3,0,8,16,
1000352,P00109742,M,18-25,4,A,0,0,8,,
1000352,P00324442,M,18-25,4,A,0,0,11,13,16
1000352,P00067842,M,18-25,4,A,0,0,6,10,16
1000355,P00293242,M,18-25,3,B,2,0,8,16,
1000355,P00194642,M,18-25,3,B,2,0,1,6,13
1000356,P00194242,M,55+,20,C,0,1,11,16,
1000361,P00184442,F,26-35,14,B,3,0,1,6,8
1000364,P00021742,F,36-45,1,C,3,0,5,,
1000365,P00182742,F,18-25,4,A,1,0,1,2,14
1000368,P00279542,M,26-35,0,C,1,0,8,,
1000368,P00039242,M,26-35,0,C,1,0,1,15,
1000377,P00353142,M,26-35,17,B,2,0,5,,
1000380,P00307542,M,26-35,2,C,1,0,1,15,
1000380,P00324942,M,26-35,2,C,1,0,5,,
1000381,P00002942,M,36-45,17,C,2,0,2,15,
1000385,P0097142,M,26-35,6,C,1,0,12,,
1000386,P00134642,M,26-35,0,A,1,1,5,,
1000386,P00295842,M,26-35,0,A,1,1,5,8,
1000388,P00199442,F,26-35,0,B,3,1,5,9,
1000389,P00237542,M,26-35,6,C,0,0,1,15,16
1000390,P00341942,M,26-35,4,A,0,0,11,15,16
1000392,P00366542,M,18-25,7,A,0,0,5,,
1000392,P00051442,M,18-25,7,A,0,0,8,17,
1000393,P00084442,M,36-45,17,C,4+,0,13,16,
1000398,P00113242,M,26-35,17,B,3,1,1,6,8
1000398,P00136742,M,26-35,17,B,3,1,1,14,16
1000402,P00344442,M,26-35,11,B,1,1,5,8,14
1000407,P00024942,M,18-25,17,C,1,0,5,,
1000411,P00319142,F,46-50,1,B,0,1,5,14,
1000411,P00295942,F,46-50,1,B,0,1,2,5,15
1000411,P00074342,F,46-50,1,B,0,1,5,,
1000412,P00302942,M,36-45,15,A,1,1,8,,
1000415,P00049642,F,36-45,0,A,2,1,8,14,
1000415,P00344242,F,36-45,0,A,2,1,8,10,
1000419,P00241642,M,18-25,3,C,1,0,1,2,11
1000422,P00204342,M,55+,17,A,4+,0,15,16,
1000422,P00235942,M,55+,17,A,4+,0,11,15,16
1000424,P00162442,M,26-35,17,A,3,0,1,16,
1000424,P00204342,M,26-35,17,A,3,0,15,16,
1000424,P00349142,M,26-35,17,A,3,0,11,,
1000425,P00321742,M,26-35,12,B,1,1,5,8,17
1000425,P00183242,M,26-35,12,B,1,1,5,15,
1000425,P00014042,M,26-35,12,B,1,1,1,,
1000432,P00078742,M,46-50,16,C,1,1,5,8,14
1000437,P00343042,M,36-45,17,C,2,1,5,18,
1000438,P00183242,M,18-25,11,A,3,0,5,15,
1000438,P00325742,M,18-25,11,A,3,0,2,9,
1000438,P00152942,M,18-25,11,A,3,0,5,,
1000438,P0095342,M,18-25,11,A,3,0,2,4,
1000438,P00238642,M,18-25,11,A,3,0,1,5,
1000442,P00260042,M,26-35,1,A,2,0,5,8,
1000442,P00120642,M,26-35,1,A,2,0,5,,
1000444,P00216742,M,55+,0,A,3,0,5,,
1000451,P00116842,M,55+,13,C,4+,1,2,5,8
1000453,P00130442,M,18-25,4,B,1,0,3,5,
1000453,P00177842,M,18-25,4,B,1,0,8,,
1000453,P00347742,M,18-25,4,B,1,0,7,,
1000454,P00337842,M,26-35,20,C,2,1,5,,
1000454,P00183342,M,26-35,20,C,2,1,5,15,18
1000457,P00242742,M,18-25,4,B,2,0,1,2,9
1000461,P00285742,M,51-55,7,B,0,0,8,,
1000461,P00065342,M,51-55,7,B,0,0,2,15,
1000462,P00127242,M,18-25,16,C,1,1,1,16,
1000478,P00156442,M,51-55,16,A,2,0,8,,
1000480,P00163442,F,18-25,4,C,1,0,6,8,13
1000482,P00196542,M,26-35,14,A,2,1,5,8,14
1000482,P00193742,M,26-35,14,A,2,1,8,15,
1000482,P00302142,M,26-35,14,A,2,1,5,14,
1000498,P00052842,M,36-45,17,A,1,0,10,15,
1000499,P00101942,F,26-35,1,A,1,0,8,17,
1000508,P00103042,M,26-35,12,B,0,0,1,14,
1000509,P00130842,M,26-35,2,A,0,1,5,14,
1000509,P00046742,M,26-35,2,A,0,1,1,2,15
1000509,P00009342,M,26-35,2,A,0,1,1,16,
1000509,P00000642,M,26-35,2,A,0,1,1,6,16
1000513,P00085242,M,26-35,0,C,4+,0,8,14,17
1000515,P00085242,M,26-35,1,A,0,1,8,14,17
1000518,P00067942,F,36-45,12,C,4+,0,5,14,
1000518,P00004742,F,36-45,12,C,4+,0,6,16,
1000520,P00140042,F,36-45,20,A,2,0,1,16,
1000520,P00130742,F,36-45,20,A,2,0,1,14,17
1000520,P00123742,F,36-45,20,A,2,0,11,,
1000520,P00198042,F,36-45,20,A,2,0,11,16,
1000524,P00136142,M,18-25,0,A,0,0,6,16,
1000524,P00191442,M,18-25,0,A,0,0,1,2,15
1000524,P00101542,M,18-25,0,A,0,0,13,16,
1000524,P00040242,M,18-25,0,A,0,0,5,16,
1000529,P00270542,M,36-45,12,C,1,0,1,6,8
1000529,P00126142,M,36-45,12,C,1,0,8,16,
1000530,P00346142,M,26-35,2,A,1,1,1,15,
1000533,P00145042,M,26-35,12,A,1,0,1,2,5
1000536,P00233442,M,26-35,20,C,1,0,1,2,15
1000540,P00214642,M,18-25,1,B,1,0,11,13,16
1000541,P00004842,F,18-25,4,C,3,0,3,4,12
1000543,P00129342,M,26-35,5,B,4+,1,1,5,15
1000546,P00216342,F,26-35,0,B,0,0,3,4,5
1000549,P00206742,M,26-35,6,A,3,0,11,15,
1000550,P00110742,M,46-50,8,B,1,1,1,2,8
1000550,P00000242,M,46-50,8,B,1,1,2,4,9
1000550,P00182142,M,46-50,8,B,1,1,1,5,6
1000550,P00221842,M,46-50,8,B,1,1,1,8,
1000553,P00033642,M,26-35,2,B,1,0,5,8,
1000554,P00370242,M,26-35,12,C,0,1,5,,
1000556,P00106042,F,26-35,9,B,4+,0,5,,
1000556,P00192542,F,26-35,9,B,4+,0,1,2,9
1000559,P00314142,F,26-35,7,C,1,0,8,16,
1000561,P00324942,F,18-25,14,C,3,1,5,,
1000566,P00319342,M,26-35,17,A,3,0,5,8,
1000566,P00017542,M,26-35,17,A,3,0,5,,
1000566,P00192042,M,26-35,17,A,3,0,5,9,14
1000566,P00151742,M,26-35,17,A,3,0,8,15,16
1000566,P00212042,M,26-35,17,A,3,0,13,15,
1000566,P00338542,M,26-35,17,A,3,0,1,,
1000568,P00046742,F,51-55,17,C,1,1,1,2,15
1000577,P00304442,M,36-45,0,A,3,0,1,16,
1000585,P00112142,M,18-25,1,A,1,0,1,2,14
1000587,P00015142,M,26-35,20,B,3,0,5,,
1000588,P00343042,F,26-35,11,B,1,0,5,18,
1000588,P00233542,F,26-35,11,B,1,0,1,15,
1000588,P00319542,F,26-35,11,B,1,0,8,14,
1000590,P00131242,F,36-45,6,C,1,0,8,,
1000591,P00265242,M,26-35,0,C,1,0,5,8,
1000601,P00182642,F,18-25,20,B,3,1,2,4,9
1000601,P00250842,F,18-25,20,B,3,1,8,,
1000602,P00032342,F,55+,6,C,2,0,11,15,
1000604,P00328142,M,46-50,17,C,2,1,8,16,
1000604,P00276642,M,46-50,17,C,2,1,8,11,
1000608,P00063342,M,18-25,4,C,3,1,1,2,9
1000608,P00074442,M,18-25,4,C,3,1,1,16,
1000611,P00059442,M,36-45,0,C,1,0,6,8,16
1000620,P00135742,M,18-25,0,A,3,0,6,8,
1000624,P00074642,M,26-35,1,B,3,0,5,9,14
1000624,P00184142,M,26-35,1,B,3,0,8,14,
1000624,P0096142,M,26-35,1,B,3,0,3,4,
1000630,P00205442,F,36-45,14,C,2,0,5,8,14
1000631,P00321742,M,36-45,17,C,3,1,5,8,17
1000634,P00000142,F,0-17,10,C,4+,0,3,4,5
1000637,P00052842,M,36-45,12,B,2,1,10,15,
1000638,P00113942,M,26-35,6,C,1,1,8,,
1000638,P00324742,M,26-35,6,C,1,1,2,9,14
1000639,P00183642,M,46-50,17,B,2,1,4,5,9
1000641,P00118442,F,36-45,0,A,2,1,1,2,
1000643,P00346442,M,26-35,2,C,0,1,1,2,14
1000643,P00355142,M,26-35,2,C,0,1,1,15,
1000646,P00277442,M,36-45,7,C,2,0,1,6,15
1000647,P00262242,M,36-45,12,B,1,1,1,11,16
1000647,P00259442,M,36-45,12,B,1,1,5,,
1000648,P00355642,F,26-35,12,B,1,1,16,,
1000648,P00242742,F,26-35,12,B,1,1,1,2,9
1000649,P00283942,M,26-35,4,B,2,1,5,,
1000651,P00110942,M,36-45,7,B,2,0,1,2,
1000651,P00057642,M,36-45,7,B,2,0,1,15,16
1000651,P00120742,M,36-45,7,B,2,0,8,12,17
1000652,P00112642,M,18-25,20,C,3,0,1,2,5
1000655,P00339042,F,26-35,2,B,2,0,5,,
1000656,P00085242,F,46-50,16,C,3,1,8,14,17
1000669,P00142142,M,26-35,17,B,2,0,1,2,15
1000673,P00014642,M,26-35,20,A,4+,0,8,14,17
1000678,P00317842,M,26-35,0,A,0,1,8,,
1000678,P00352142,M,26-35,0,A,0,1,1,6,16
1000678,P00266242,M,26-35,0,A,0,1,11,,
1000678,P00243942,M,26-35,0,A,0,1,1,2,15
1000680,P00031142,M,26-35,12,C,1,0,16,,
1000687,P00173942,F,26-35,7,C,4+,0,1,5,6
1000687,P00147742,F,26-35,7,C,4+,0,1,16,
1000687,P00165442,F,26-35,7,C,4+,0,1,15,16
1000692,P00227742,F,26-35,0,A,0,1,5,14,
1000692,P00248542,F,26-35,0,A,0,1,8,16,
1000692,P00197442,F,26-35,0,A,0,1,8,14,
1000692,P00182442,F,26-35,0,A,0,1,5,11,
1000697,P00120942,F,51-55,6,A,3,1,8,,
1000697,P00174442,F,51-55,6,A,3,1,5,,
1000700,P00124742,M,51-55,17,C,1,1,10,16,
1000702,P00278642,M,36-45,7,B,2,1,5,,
1000702,P00331042,M,36-45,7,B,2,1,5,8,
1000702,P00331342,M,36-45,7,B,2,1,8,16,
1000702,P00085942,M,36-45,7,B,2,1,2,4,8
1000702,P00130742,M,36-45,7,B,2,1,1,14,17
1000705,P00266142,M,26-35,4,C,0,1,5,11,
1000705,P00226842,M,26-35,4,C,0,1,11,,
